student_id,age,gender,gaming_hours,study_hours,sleep_hours,attendance,gaming_genre,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades
30,20,Male,7.85,4.54,7.16,84.32,Casual,1.94,11.1,223.6,17.99,Low,44.94
31,18,Female,5.69,5.54,8.4,84.73,FPS,1.11,10.18,248.59,15.6,Low,69.53
32,22,Male,3.35,9.03,4.89,80.01,RPG,2.14,6.34,273.87,9.32,High,88.37
33,20,Female,5.59,8.82,7.69,79.75,FPS,4.83,11.19,249.23,15.54,Low,88.78828867430884
34,24,Female,8.0,6.17,4.13,96.97,RPG,1.41,11.81,231.18,18.1,Low,40.92761123181735
35,22,Female,5.68,3.0,8.63,81.36,FPS,4.91,10.44,234.62,13.46,Low,42.99
36,17,Male,6.09,4.63,8.91,84.69,FPS,4.1,7.16,239.43,10.37,Low,62.63
37,19,Male,7.51,9.78,5.77,70.68,RPG,1.34,11.39,244.83,13.11,High,71.67337105144001
38,24,Female,0.91,6.47,4.54,94.84,FPS,3.96,5.62,308.18,1.16,Medium,83.48
39,17,Female,5.64,8.03,7.29,60.97,Casual,0.25,7.93,246.6,11.1,Low,74.54685540039097
40,24,Male,6.81,5.05,4.15,82.29,Casual,2.74,7.88,225.53,15.98,Low,30.39
41,20,Other,7.64,5.79,6.41,75.35,RPG,1.79,12.36,216.62,15.18,Low,38.94
42,17,Female,1.69,4.86,5.36,84.16,FPS,2.13,4.38,309.54,3.08,Medium,79.96
43,19,Male,4.03,7.33,6.37,74.41,RPG,2.36,7.17,263.41,8.69,Medium,86.79
44,22,Female,5.44,8.66,4.09,88.71,FPS,2.51,9.25,262.77,15.36,High,77.6456270607162
45,23,Female,1.98,5.57,4.26,60.81,Casual,3.28,3.53,286.43,4.66,Medium,69.57
46,18,Male,4.8,5.33,4.08,76.24,FPS,3.48,6.32,261.14,10.63,Medium,55.77
47,16,Male,2.06,4.06,7.1,93.25,FPS,4.88,7.86,294.59,7.84,Medium,74.5
48,19,Female,2.67,2.59,6.8,70.01,FPS,3.81,5.36,280.42,9.47,Medium,56.86
49,17,Female,3.53,9.45,5.17,62.11,Casual,3.44,5.81,278.41,8.37,High,86.86
50,23,Male,4.23,3.84,7.23,79.86,Casual,1.96,5.47,248.08,5.55,Medium,64.03
51,19,Female,3.59,8.21,8.42,99.06,FPS,0.59,5.46,276.03,8.37,Medium,99.32
52,17,Female,3.95,7.44,5.39,62.57,Casual,0.29,7.1,277.05,12.36,High,66.87
53,21,Female,2.39,8.12,8.16,62.8,FPS,2.39,5.1,282.97,7.42,Medium,93.83
54,21,Male,1.27,9.43,7.31,83.8,Casual,3.34,4.39,306.89,4.53,Medium,100.0
55,19,Female,0.38,6.61,4.17,70.0,RPG,3.25,4.9,316.97,3.73,Medium,78.34
56,21,Male,1.57,9.08,5.88,76.41,Casual,4.76,5.78,303.1,1.57,High,100.0
57,17,Male,4.66,2.51,6.54,93.22,FPS,1.91,8.13,250.63,7.1,Medium,57.56
58,17,Male,6.29,6.64,7.66,67.95,RPG,3.14,11.36,245.47,16.9,Low,63.94
59,19,Female,1.35,7.95,5.44,88.77,RPG,4.44,6.64,286.58,7.92,High,85.12
60,23,Female,0.87,3.44,8.91,80.18,FPS,2.02,4.82,303.27,2.46,Medium,85.67
61,22,Male,5.99,7.67,7.42,96.2,FPS,2.39,7.58,248.08,13.16,Low,96.57122032899532
62,24,Female,2.44,8.01,5.86,98.92,Casual,4.61,5.47,292.8,7.64,High,88.95
63,23,Male,7.61,8.48,4.49,79.4,RPG,2.75,11.78,216.59,20.63,High,54.03650726930501
64,20,Male,5.71,3.82,4.91,83.39,RPG,4.0,7.02,248.64,11.92,Low,47.48
65,17,Other,2.61,7.13,6.44,89.83,FPS,4.68,3.71,296.63,7.25,Medium,87.33
66,20,Female,2.32,3.74,6.47,72.75,FPS,2.86,8.06,282.36,11.5,Medium,60.14
67,23,Male,4.19,7.65,7.84,69.07,Casual,0.55,8.84,248.18,10.14,Medium,77.07
68,24,Female,0.63,5.17,7.63,98.59,Casual,4.11,2.4,317.74,2.27,Medium,100.0
69,24,Male,0.94,6.38,5.01,77.3,Casual,4.09,4.17,299.3,1.28,Medium,83.62
70,16,Male,1.41,4.74,6.97,60.06,Casual,0.57,3.38,296.69,1.69,Medium,74.6
71,24,Female,6.2,2.46,4.1,93.51,Casual,2.74,7.25,246.91,14.68,Low,35.48
72,22,Female,4.11,2.6,5.99,83.99,FPS,2.44,7.07,271.45,12.09,Medium,47.64
73,24,Male,0.08,1.7,7.82,66.74,FPS,4.24,4.32,329.26,4.61,Medium,67.51
74,23,Female,5.39,6.56,6.0,61.21,Casual,1.37,11.16,252.9,11.6,Low,59.6
75,16,Female,3.39,8.64,8.18,71.66,FPS,2.13,8.24,280.0,8.79,Medium,91.88
76,23,Male,4.09,1.19,8.88,97.12,Casual,3.02,6.24,253.99,10.21,Medium,66.67188190516212
77,23,Female,1.71,1.6,7.04,97.34,Casual,2.59,4.39,305.76,0.21,Medium,70.18
78,18,Female,4.41,5.12,4.73,72.44,RPG,4.78,8.01,260.17,11.53,Medium,56.85
79,16,Female,7.83,7.64,5.9,93.44,FPS,4.8,9.79,258.35,20.4,High,70.03082865031259
80,23,Female,0.59,2.42,4.05,77.67,RPG,0.41,5.75,310.78,6.03,Medium,72.47994815879551
81,18,Female,2.27,3.44,7.01,86.17,Casual,1.49,4.11,297.0,0.64,Medium,69.75
82,18,Male,1.94,3.09,8.11,73.38,Casual,0.04,4.39,303.1,5.9,Medium,63.05
83,16,Female,1.99,4.59,7.15,80.64,FPS,2.09,5.88,295.23,6.36,Medium,84.1
84,20,Female,3.03,3.02,7.93,71.75,Casual,3.31,4.65,288.01,7.41,Medium,59.51
85,22,Male,6.54,4.17,8.0,62.44,RPG,2.36,10.66,264.07,15.35,Low,33.85
86,24,Female,7.3,7.56,8.26,65.58,FPS,0.34,13.02,224.86,16.81,Low,75.84021103153083
87,22,Female,1.62,6.5,5.33,71.63,FPS,0.98,6.08,278.13,0.82,Medium,84.88
88,24,Female,4.34,1.73,8.36,99.05,RPG,0.87,9.4,254.89,11.83,Medium,51.42
89,23,Male,5.1,6.74,7.27,98.63,FPS,2.56,8.29,268.77,13.05,Low,70.14
90,17,Male,4.17,5.29,5.45,93.11,FPS,3.39,7.0,265.17,8.64,Medium,71.42
91,16,Female,3.47,9.41,8.94,69.3,FPS,1.58,6.11,301.68,10.78,Medium,108.77322825666388
92,22,Male,1.54,3.6,8.75,77.66,Casual,0.65,5.84,308.79,1.95,Medium,77.12
93,22,Female,3.91,7.54,6.87,77.59,FPS,3.99,7.5,266.55,6.16,Medium,83.85
94,23,Male,3.21,7.58,8.22,75.48,FPS,4.29,6.57,273.69,8.27,Medium,87.4
95,20,Male,6.36,2.99,5.31,61.8,FPS,1.38,7.86,239.22,12.11,Low,28.37
96,18,Male,6.11,9.13,6.08,81.38,Casual,2.1,10.48,226.04,16.35,Low,89.86994366733958
97,23,Male,1.07,5.42,4.92,62.91,Casual,0.41,5.7,309.94,3.6,Medium,61.04
98,21,Female,0.71,7.11,6.6,92.08,Casual,1.14,2.69,318.42,5.13,Medium,96.03
99,18,Male,7.27,2.31,6.48,87.65,RPG,3.84,12.07,223.09,15.5,Low,26.04
100,16,Male,4.28,3.32,5.06,74.11,RPG,1.83,9.68,253.12,11.55,Medium,40.98
101,18,Male,6.86,6.27,7.36,85.89,RPG,3.02,8.73,228.57,10.69,Low,50.57
102,20,Female,0.47,3.87,4.59,69.32,RPG,4.73,3.73,324.33,2.46,Medium,60.64
103,18,Male,4.21,5.5,4.31,70.61,FPS,3.62,9.59,277.51,11.26,Medium,52.38
104,16,Female,4.32,4.37,5.92,72.57,RPG,2.27,7.76,270.31,12.78,Medium,56.97
105,20,Female,6.89,6.76,6.05,91.88,FPS,1.83,11.97,253.74,13.3,Low,55.43
106,22,Female,0.78,5.38,5.6,68.43,Casual,0.95,2.86,293.75,2.03,Medium,74.27
107,22,Female,1.92,1.04,5.29,82.51,RPG,3.78,3.24,294.88,7.41,Medium,53.47
108,24,Female,3.25,6.85,5.69,68.02,RPG,0.56,4.55,286.6,10.32,Medium,70.23
109,18,Female,6.93,4.8,4.82,71.4,RPG,0.31,12.79,244.74,15.12,Low,28.03
110,22,Male,7.51,4.08,6.02,69.42,Casual,0.52,9.33,237.92,14.56,Low,39.29
111,16,Male,7.94,1.85,8.52,85.8,RPG,1.21,13.26,231.96,15.14,Low,25.78
112,19,Male,7.67,2.98,5.12,81.07,RPG,3.14,10.25,241.15,12.38,Low,19.15
113,19,Female,0.05,3.01,7.42,88.85,FPS,4.31,1.25,327.01,-0.08,Medium,81.44
114,20,Other,0.38,9.42,4.71,68.8,FPS,4.96,2.58,303.9,0.57,High,100.0
115,22,Female,1.18,4.89,5.77,60.37,FPS,3.66,4.71,301.29,8.25,Medium,87.7929048115807
116,22,Male,2.79,1.38,5.61,87.22,FPS,0.73,4.32,269.57,7.04,Medium,45.61
117,19,Female,6.64,2.25,8.69,64.59,Casual,1.39,12.25,250.28,15.67,Low,41.83028579191895
118,22,Male,7.14,1.71,6.14,69.85,Casual,0.66,12.64,246.27,18.34,Low,20.54
119,18,Male,1.49,6.3,7.45,72.23,FPS,0.58,3.24,289.92,5.91,Medium,100.0
120,21,Male,4.96,2.68,7.01,89.87,FPS,2.84,9.65,256.68,14.69,Medium,51.09
121,17,Male,7.34,5.49,4.71,85.04,RPG,4.53,10.64,214.37,16.85,Low,39.84
122,24,Female,3.71,4.33,8.7,67.37,RPG,3.42,9.62,274.27,10.33,Medium,61.63
123,20,Male,0.83,8.23,5.73,83.92,Casual,4.0,2.11,301.77,2.62,High,95.80734127261199
124,21,Male,3.66,3.88,4.22,88.33,RPG,2.54,7.02,264.4,8.88,Medium,59.43
125,19,Female,3.01,5.12,5.5,75.56,Casual,2.38,5.44,283.63,6.18,Medium,66.67
126,22,Female,4.62,7.49,5.68,69.84,FPS,4.69,9.25,283.38,13.64,High,70.99
127,24,Female,3.51,4.9,4.46,87.16,FPS,3.61,5.07,285.83,7.41,Medium,65.6
128,22,Male,0.14,8.14,7.1,84.44,Casual,2.3,4.28,315.8,0.32,Medium,109.08473630488845
129,16,Female,7.95,6.96,5.73,63.12,FPS,1.66,13.69,224.11,18.81,Low,42.39
130,16,Female,4.35,4.69,7.15,86.67,FPS,0.47,7.62,286.58,11.77,Medium,67.78
131,24,Male,3.79,5.54,4.03,79.54,FPS,4.1,7.06,287.11,6.3,Medium,59.16
132,24,Female,7.64,9.7,8.91,90.13,RPG,0.85,11.12,225.21,16.48,Low,91.92017996885592
133,19,Male,1.25,6.95,4.85,67.63,FPS,2.58,4.33,310.01,2.44,Medium,88.17
134,24,Male,1.51,9.14,7.3,70.33,Casual,3.19,4.75,291.89,9.01,Medium,100.0
135,18,Female,6.46,2.61,7.58,81.73,Casual,3.72,9.78,242.73,14.76,Low,32.41
136,22,Female,2.09,5.35,4.86,79.27,Casual,0.42,8.08,302.56,10.28,Medium,69.69
137,21,Male,6.39,9.18,4.56,75.45,FPS,0.05,7.97,253.52,14.06,High,78.39667652392087
138,23,Female,2.17,3.9,4.76,89.84,Casual,3.53,4.6,287.56,6.22,Medium,66.62
139,24,Female,0.27,9.71,5.23,82.59,Casual,2.27,2.32,326.78,1.44,High,105.98646178855333
140,20,Female,4.14,1.87,4.84,88.41,FPS,0.91,7.86,271.8,9.69,Medium,36.37
141,16,Male,1.57,9.12,7.37,66.13,FPS,4.91,2.58,298.27,3.5,Medium,100.0
142,18,Female,6.06,5.01,6.1,89.16,RPG,3.96,11.67,266.37,13.61,Low,58.11
143,23,Male,5.13,1.66,6.69,78.46,Casual,2.89,8.79,254.84,12.07,Low,38.84
144,21,Female,7.39,8.92,4.24,61.35,FPS,3.51,12.87,220.24,14.27,High,46.6012417873633
145,23,Male,6.26,3.27,8.31,69.38,RPG,0.78,8.98,238.16,14.23,Low,43.73
146,24,Male,1.45,1.2,4.85,61.03,Casual,4.81,3.2,309.86,1.37,Medium,36.76
147,19,Female,6.4,2.22,5.8,78.27,FPS,4.98,8.36,233.33,13.97,Low,27.41
148,16,Male,5.13,6.93,4.36,73.04,FPS,3.24,8.48,266.73,12.58,Low,47.64
149,16,Male,5.35,9.8,4.68,99.5,Casual,3.34,6.55,247.27,14.13,High,93.18747444699359
150,19,Male,6.66,2.0,7.33,94.74,FPS,3.52,11.57,239.33,16.41,Low,37.92
151,22,Female,4.59,5.16,7.46,93.03,Casual,3.33,9.54,287.02,11.12,Medium,67.61
152,17,Male,3.73,2.63,7.38,80.04,Casual,2.19,8.24,266.41,8.46,Medium,60.65
153,18,Female,5.09,7.71,6.76,92.28,FPS,2.7,10.57,238.72,14.35,Low,88.72625736509066
154,16,Male,2.38,2.06,8.76,70.67,FPS,1.41,6.13,305.11,6.44,Medium,55.64
155,20,Male,1.46,3.16,6.54,82.43,FPS,2.23,4.86,288.48,3.12,Medium,75.82
156,16,Male,4.93,2.77,6.25,75.72,FPS,2.18,8.58,252.72,11.99,Medium,45.89
157,23,Female,1.87,5.97,5.24,66.85,Casual,1.44,3.78,304.85,0.98,Medium,89.36176029714849
158,16,Male,0.64,8.86,4.49,62.9,RPG,3.93,4.2,319.21,3.22,High,92.51
159,16,Male,0.0,5.6,6.74,82.33,Casual,2.05,3.71,296.26,0.29,Medium,87.61
160,17,Other,4.87,1.52,5.57,63.91,RPG,2.76,9.69,258.13,11.5,Medium,24.11
161,17,Female,2.9,6.07,6.62,88.72,RPG,0.78,5.64,293.72,11.16,Medium,83.7
162,21,Male,6.02,8.18,5.03,96.86,Casual,2.37,7.48,268.05,11.8,High,79.88433064435151
163,22,Male,3.0,2.19,8.19,66.48,Casual,3.81,6.99,271.61,9.57,Medium,65.00348539565958
164,20,Female,3.89,1.65,9.0,78.84,Casual,2.22,8.83,284.0,12.35,Medium,65.36
165,16,Male,3.26,2.69,5.61,89.55,FPS,2.79,9.11,274.26,11.15,Medium,59.71
166,16,Male,5.2,7.71,8.21,71.47,Casual,3.51,6.65,268.02,11.87,Low,87.54960154278523
167,18,Female,2.85,6.33,8.36,96.83,RPG,1.94,7.58,275.4,5.85,Medium,91.21
168,17,Female,7.71,5.87,8.98,95.54,Casual,1.77,11.69,225.18,16.11,Low,54.9
169,20,Female,7.49,3.25,5.71,64.15,RPG,0.43,8.57,233.99,13.19,Low,8.97
170,21,Male,6.78,3.99,7.78,61.1,FPS,2.91,11.37,248.18,15.15,Low,38.31
171,22,Male,7.36,9.69,5.14,99.06,FPS,3.53,8.49,237.38,14.6,High,76.60309521096231
172,19,Female,3.59,3.17,7.12,98.26,FPS,2.91,8.52,272.63,7.82,Medium,64.98
173,22,Male,4.29,9.11,7.52,76.89,FPS,1.42,8.9,263.5,11.98,Medium,87.45
174,23,Female,5.94,6.22,7.71,62.02,RPG,1.31,10.38,266.51,13.11,Low,58.92
175,16,Female,5.57,2.11,5.04,84.76,Casual,0.8,7.17,255.93,11.21,Low,38.19
176,21,Male,7.13,5.21,8.24,71.74,FPS,0.23,12.73,229.69,13.92,Low,48.45
177,23,Female,5.73,9.54,6.1,97.47,FPS,2.13,11.22,256.62,14.34,Low,85.6199900584634
178,20,Female,7.98,4.77,5.08,91.79,Casual,0.8,13.48,230.47,18.52,Low,27.24
179,19,Female,2.79,8.77,6.71,85.98,FPS,3.45,5.59,272.99,5.78,Medium,99.39
180,17,Male,6.66,3.31,8.32,71.38,Casual,4.81,10.12,244.94,15.81,Low,43.94
181,21,Male,5.58,6.14,8.84,88.05,FPS,0.37,7.15,237.98,12.18,Low,76.8165965307675
182,21,Female,5.53,8.59,7.74,71.57,RPG,4.46,6.79,247.19,12.87,Low,88.5609535265387
183,16,Male,2.61,9.29,4.03,61.51,FPS,3.29,3.9,278.82,7.13,High,86.4
184,24,Other,6.28,5.37,4.67,80.34,Casual,4.3,10.12,243.35,15.91,Low,52.13
185,21,Male,7.2,6.76,4.38,79.55,Casual,0.77,9.81,229.23,19.04,Low,44.19
186,18,Female,1.75,1.03,4.51,90.52,Casual,4.53,5.65,297.0,5.71,Medium,58.84461279165568
187,19,Male,5.0,3.28,5.92,94.63,FPS,4.79,8.96,241.05,10.09,Medium,47.54
188,19,Female,3.14,3.51,5.69,74.18,Casual,4.53,8.68,281.56,8.19,Medium,55.66
189,18,Male,7.92,1.84,4.57,77.98,Casual,3.93,13.33,213.95,17.74,Low,15.08
190,18,Male,3.83,3.52,8.41,78.82,RPG,0.45,8.42,296.88,8.12,Medium,64.14
191,18,Male,1.83,3.89,7.08,72.97,RPG,1.1,6.92,294.04,1.18,Medium,76.1
192,19,Female,3.05,9.72,7.98,89.74,Casual,4.57,4.07,280.82,7.07,Medium,99.4
193,22,Male,5.23,7.02,5.86,80.88,RPG,1.15,6.31,264.19,11.07,High,81.77816661012079
194,19,Female,0.61,4.83,6.05,96.56,FPS,1.74,3.9,325.9,6.69,Medium,87.88
195,24,Female,4.83,9.89,5.59,86.01,Casual,0.25,9.1,250.26,15.5,High,84.79
196,16,Male,7.45,2.38,6.19,68.48,RPG,3.14,12.42,236.33,18.74,Low,25.109089330088054
197,23,Female,6.8,5.28,7.05,66.59,Casual,2.82,10.04,248.06,16.35,Low,50.29
198,22,Male,0.54,6.82,6.46,74.9,RPG,4.81,6.24,315.37,2.27,Medium,100.0
199,17,Other,7.95,1.5,8.19,73.88,FPS,4.46,13.02,226.25,18.81,Low,10.67
200,23,Female,5.59,7.45,8.5,76.29,RPG,2.53,7.1,247.8,11.7,Low,80.40250608471575
201,16,Male,1.3,1.9,6.35,67.34,Casual,3.05,4.5,301.18,4.49,Medium,57.07
202,24,Male,0.1,2.26,5.2,99.13,FPS,2.07,6.07,317.72,1.65,Medium,69.24
203,24,Male,1.37,2.44,8.73,65.83,RPG,0.66,4.42,299.3,5.1,Medium,72.87
204,17,Other,6.71,9.36,7.68,86.11,FPS,4.34,9.64,248.36,12.15,Low,83.66114802329601
205,22,Male,0.17,7.15,7.2,60.52,RPG,2.75,2.64,309.24,7.65,Medium,82.63
206,18,Female,1.87,6.9,7.73,76.28,Casual,2.13,5.3,306.11,8.35,Medium,108.89931594795695
207,22,Male,6.06,6.0,4.38,72.37,RPG,0.34,10.71,260.56,17.1,Low,44.39
208,24,Female,4.69,3.64,4.34,75.28,RPG,3.33,5.93,267.42,7.45,Medium,35.68
209,19,Male,6.26,6.59,4.77,79.92,FPS,2.0,11.44,226.99,11.87,Low,47.86
210,16,Female,5.97,4.69,4.74,84.02,RPG,1.27,11.56,254.48,15.28,Low,41.01
211,17,Female,0.4,2.31,6.1,83.34,RPG,4.38,5.31,308.76,2.65,Medium,61.26
212,16,Female,7.14,7.21,4.79,85.23,Casual,0.92,12.72,229.04,20.77,High,51.617656377514194
213,20,Male,1.82,2.17,8.27,93.78,Casual,2.58,3.29,301.78,5.63,Medium,75.94975519720927
214,20,Male,4.43,2.72,6.89,95.47,RPG,3.98,7.68,277.89,10.4,Medium,65.72
215,22,Male,5.15,8.36,5.84,89.49,Casual,4.25,6.51,241.59,13.94,High,85.86751605822991
216,24,Female,1.35,6.94,4.35,63.16,Casual,4.09,6.53,304.38,5.65,Medium,77.79
217,24,Male,7.81,6.68,6.96,98.45,FPS,4.48,13.57,246.2,18.96,Low,55.69
218,18,Female,3.91,4.76,4.58,97.9,RPG,0.71,6.4,262.09,11.15,Medium,61.59
219,18,Male,0.46,4.57,7.72,88.47,Casual,4.7,4.14,312.48,1.41,Medium,79.68
220,18,Female,7.5,7.21,8.01,80.7,Casual,0.05,9.99,223.84,18.28,Low,63.16524500862786
221,19,Female,4.69,7.66,6.72,70.02,FPS,1.28,7.58,270.75,11.96,Medium,70.88
222,23,Female,5.59,5.59,4.75,90.25,Casual,0.42,8.97,240.42,11.03,Low,52.27
223,21,Male,4.2,9.72,7.93,95.11,RPG,4.73,9.15,253.9,14.79,Medium,108.06139606676896
224,23,Male,6.68,9.6,5.54,86.61,FPS,2.12,8.41,248.16,13.31,High,71.60454711361115
225,16,Male,0.27,4.71,5.11,85.16,Casual,1.58,2.06,319.15,-1.83,Medium,86.37
226,23,Male,2.15,8.39,6.35,67.72,Casual,0.84,4.16,282.34,3.75,Medium,100.0
227,19,Female,3.76,5.89,8.61,74.31,RPG,0.78,5.03,274.2,6.08,Medium,79.72
228,16,Female,0.61,5.61,5.49,88.93,FPS,3.07,4.83,299.86,3.72,Medium,81.47
229,23,Female,5.65,1.49,8.53,60.68,Casual,0.24,7.6,261.42,15.52,Low,31.58
230,19,Male,3.15,6.17,4.27,85.65,RPG,2.97,6.34,284.98,8.39,Medium,71.51
231,21,Female,2.18,9.11,4.42,90.67,FPS,3.87,6.61,286.69,9.75,High,92.52
232,23,Female,0.03,8.02,7.49,73.39,FPS,3.01,3.27,313.84,3.81,Medium,100.0
233,19,Female,5.76,8.08,4.95,63.05,FPS,4.13,11.29,246.29,8.95,High,75.26141396754363
234,18,Male,6.67,2.44,5.58,92.76,RPG,1.33,11.52,229.21,17.56,Low,26.08
235,24,Male,3.16,4.23,4.68,65.67,FPS,0.39,5.53,295.48,6.34,Medium,49.13
236,18,Male,4.51,3.1,5.66,74.83,FPS,3.6,6.16,277.51,10.87,Medium,49.38
237,24,Female,1.82,3.84,5.4,88.29,Casual,4.14,7.29,294.15,6.26,Medium,74.69
238,17,Female,4.98,6.22,7.68,92.68,Casual,2.51,7.96,257.09,17.02,Medium,68.05
239,17,Male,0.1,4.28,7.51,94.5,FPS,4.1,3.01,307.57,2.53,Medium,81.72
240,17,Male,3.91,6.05,8.77,81.22,FPS,2.29,8.96,271.47,11.51,Medium,79.51
241,21,Female,5.15,4.95,7.62,79.03,RPG,0.99,6.2,263.09,12.98,Low,60.33
242,18,Female,7.35,3.58,7.47,93.93,FPS,2.37,10.61,243.61,13.35,Low,39.33
243,24,Male,3.05,1.86,7.47,82.52,FPS,1.08,7.62,274.44,10.55,Medium,59.64
244,19,Female,6.12,9.03,8.41,83.15,FPS,2.36,11.36,229.71,14.43,Low,93.92768602159194
245,16,Other,4.78,1.1,5.48,77.36,Casual,0.74,10.21,252.57,10.89,Medium,31.23
246,19,Female,7.42,1.01,5.5,74.91,Casual,0.93,10.75,236.52,18.15,Low,6.33
247,16,Male,3.19,8.44,7.71,79.22,Casual,4.41,8.43,281.28,6.02,Medium,94.69
248,20,Female,2.55,9.97,5.14,74.59,RPG,0.58,3.73,299.32,7.57,High,94.47
249,19,Female,7.1,7.54,8.56,73.74,Casual,1.12,9.63,235.22,15.15,Low,77.56969391708812
250,23,Male,0.39,1.14,6.67,99.75,RPG,4.98,1.44,331.48,1.1,Medium,57.2
251,23,Female,1.09,3.04,5.5,73.45,RPG,2.88,2.92,291.06,-1.39,Medium,71.38
252,22,Female,0.66,9.75,7.88,70.26,RPG,2.93,5.28,287.18,5.43,Medium,100.0
253,18,Female,6.74,8.28,5.56,74.16,Casual,4.22,7.76,252.65,14.49,High,65.39178514870629
254,16,Male,0.08,6.1,8.82,83.63,FPS,2.62,3.7,311.08,1.04,Medium,100.0
255,16,Female,6.89,3.13,8.91,96.44,FPS,1.11,9.96,238.7,13.46,Low,48.33
256,18,Female,3.61,1.13,7.33,91.51,Casual,2.11,5.22,278.02,9.59,Medium,42.9
257,21,Male,0.03,1.19,4.57,93.69,FPS,3.78,4.46,322.91,2.97,Medium,55.02
258,22,Female,3.21,6.51,5.32,94.36,FPS,4.36,7.68,276.74,8.67,Medium,75.45
259,21,Female,1.49,1.2,6.58,96.82,RPG,1.37,6.12,292.6,3.32,Medium,66.31
260,21,Female,5.0,9.94,8.26,69.4,FPS,1.31,9.83,249.68,13.02,Medium,98.99
261,21,Male,5.43,2.65,4.92,78.33,FPS,1.64,8.0,260.88,12.63,Low,31.24
262,18,Female,3.9,7.4,4.52,75.41,FPS,2.98,9.87,280.91,13.42,High,71.64
263,21,Male,0.32,2.4,4.37,75.28,RPG,1.39,1.68,313.66,-1.07,Medium,58.41
264,23,Male,5.25,5.86,6.53,86.09,FPS,4.47,9.49,251.03,11.19,Low,69.82
265,17,Female,6.74,1.73,8.42,76.07,RPG,4.89,12.59,244.81,20.29,Low,45.54723404249764
266,20,Male,5.76,7.9,4.21,84.65,FPS,3.4,7.88,236.06,12.96,High,62.45329605631551
267,16,Female,6.64,6.26,5.06,75.29,FPS,4.85,9.03,259.82,14.98,Low,40.59
268,16,Male,1.6,1.78,7.47,72.45,Casual,1.44,5.48,305.32,7.07,Medium,73.36607638135598
269,20,Male,7.11,8.64,8.13,74.12,Casual,4.08,12.02,233.09,20.3,Low,80.06783136209714
270,18,Male,2.58,5.92,8.04,92.15,RPG,3.39,5.22,297.34,4.16,Medium,82.12
