student_id,cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score
S46,7.86,Civil,2,0,1,0,0,42.5,7.0
S47,9.66,Mechanical,1,0,1,0,0,54.9,7.3
S48,7.06,EEE,3,0,1,1,1,12.4,8.4
S49,8.91,EEE,3,1,1,1,1,18.6,5.4
S50,6.51,Mechanical,1,1,1,0,1,38.4,7.3
S51,7.48,Civil,3,1,1,1,1,70.7,8.7
S52,5.64,Civil,2,1,1,0,0,72.2,8.3
S53,7.12,ECE,2,0,1,1,0,10.1,5.5
S54,8.03,EEE,1,1,1,1,1,45.1,4.7
S55,8.72,Mechanical,1,0,1,0,0,41.5,9.2
S56,5.88,Civil,2,1,0,1,0,58.1,7.8
S57,5.43,Civil,3,1,1,0,0,75.0,5.3
S58,7.64,IT,2,1,1,0,1,10.3,6.0
S59,8.29,Mechanical,3,0,0,0,1,2.0,4.6
S60,9.94,CSE,3,1,1,1,1,14.1,6.4
S61,9.46,EEE,1,1,0,0,0,59.0,5.6
S62,5.57,ECE,2,1,1,0,0,48.5,7.1
S63,6.36,CSE,1,0,1,0,0,27.4,7.3
S64,8.0,CSE,3,1,0,1,0,38.3,7.1
S65,9.58,CSE,3,1,1,1,0,95.4,4.8
S66,7.37,IT,3,0,0,0,1,59.8,6.8
S67,9.59,Mechanical,1,0,1,0,0,54.2,9.2
S68,9.94,Mechanical,3,1,0,1,1,18.1,7.4
S69,5.27,IT,3,1,1,0,1,36.5,7.4
S70,6.59,Civil,2,1,1,0,0,2.4,9.2
S71,5.19,Civil,3,1,1,0,0,9.2,6.0
S72,6.48,ECE,2,0,0,0,1,42.8,6.3
S73,9.91,Mechanical,2,1,1,1,1,74.3,4.4
S74,8.9,IT,1,1,0,1,1,92.8,10.0
S75,5.17,ECE,1,1,1,0,0,27.3,6.9
S76,6.3,Mechanical,1,1,1,0,0,68.3,4.5
S77,9.39,CSE,3,1,1,1,1,70.8,9.0
S78,5.64,IT,1,0,1,0,1,83.2,7.0
S79,5.64,ECE,1,0,0,0,1,39.2,5.1
S80,7.91,ECE,3,0,1,0,1,97.3,9.8
S81,5.01,IT,3,0,1,1,0,85.4,7.2
S82,9.34,IT,3,1,0,1,1,85.7,9.8
S83,6.84,IT,2,1,1,1,0,86.9,8.7
S84,7.31,IT,1,0,1,0,0,55.8,5.4
S85,5.36,Civil,2,1,1,0,0,69.5,9.2
S86,6.05,EEE,2,0,1,1,0,53.4,9.3
S87,5.84,Civil,1,0,1,1,0,93.6,4.3
S88,7.99,CSE,2,1,1,0,0,43.9,8.3
S89,8.29,CSE,1,1,1,1,0,99.6,9.8
S90,7.08,IT,3,1,1,1,1,50.5,7.3
S91,7.96,IT,2,1,0,0,1,73.3,4.8
S92,9.35,ECE,2,1,1,0,0,16.4,6.3
S93,9.42,CSE,2,1,0,0,1,14.6,6.7
S94,9.22,CSE,3,1,1,1,0,11.2,5.6
S95,7.92,CSE,1,1,0,0,1,1.7,5.9
S96,6.01,EEE,2,1,1,0,1,44.4,9.2
S97,5.57,IT,2,1,1,0,1,82.7,8.0
S98,7.84,IT,2,1,1,0,0,66.8,8.8
S99,8.05,EEE,2,1,0,0,0,54.6,6.7
S100,9.24,ECE,2,1,1,0,0,52.7,5.5
S101,5.36,IT,1,1,1,0,0,47.9,5.2
S102,8.58,IT,1,0,0,0,0,68.1,5.1
S103,7.75,Civil,2,0,1,1,1,81.9,9.3
S104,6.51,CSE,3,1,1,0,1,76.7,4.9
S105,5.48,EEE,3,0,1,0,0,23.2,6.3
S106,7.21,Mechanical,1,1,1,0,0,81.9,7.6
S107,6.77,Mechanical,1,0,1,0,1,23.4,7.2
S108,9.98,CSE,3,1,0,0,0,96.2,7.8
S109,8.98,Civil,1,1,0,0,0,99.2,9.6
S110,7.53,CSE,3,0,0,0,0,34.2,6.3
S111,8.0,IT,3,1,1,0,1,85.1,5.3
S112,9.09,Mechanical,1,0,0,0,0,95.7,7.4
S113,5.87,Civil,3,1,0,0,0,6.8,4.2
S114,9.68,Mechanical,3,1,0,1,0,1.8,7.6
S115,9.97,ECE,2,0,1,1,0,14.2,4.7
S116,8.28,Civil,3,1,1,1,0,65.4,6.1
S117,7.91,IT,2,1,0,0,0,83.4,7.8
S118,5.75,IT,3,0,1,0,1,81.1,7.7
S119,6.27,EEE,2,1,0,1,0,63.7,8.0
S120,5.21,CSE,2,0,1,0,0,1.2,9.7
S121,7.06,CSE,3,1,1,0,0,8.3,7.1
S122,6.28,IT,3,0,0,1,0,89.6,5.9
S123,5.64,IT,2,0,1,0,0,43.2,6.6
S124,8.36,IT,2,0,1,0,0,63.6,5.3
S125,9.69,IT,2,0,0,0,1,81.8,5.3
S126,5.76,Mechanical,3,0,1,1,0,16.1,7.3
S127,9.0,Mechanical,1,0,1,1,1,18.8,6.1
S128,8.39,Civil,1,1,1,0,0,12.5,6.3
S129,6.78,ECE,1,1,0,0,0,64.2,4.4
S130,6.61,Civil,3,1,0,0,1,98.2,5.3
S131,8.68,ECE,2,1,1,0,0,63.6,8.7
S132,5.83,Civil,2,1,1,0,1,93.0,8.7
S133,5.67,Civil,3,0,1,0,0,73.0,8.6
S134,5.22,Mechanical,2,0,0,0,1,97.5,6.2
S135,5.7,CSE,1,1,0,0,1,2.2,8.0
S136,8.27,ECE,1,0,1,0,1,60.9,6.1
S137,7.02,ECE,1,1,1,0,1,22.6,9.1
S138,5.31,IT,3,1,1,0,0,78.6,5.2
S139,9.39,EEE,3,1,1,0,0,98.5,8.6
S140,6.99,Mechanical,1,0,0,0,0,9.4,6.1
S141,5.79,CSE,1,1,1,0,1,90.6,5.7
S142,9.84,Mechanical,1,1,0,1,0,98.8,6.9
S143,7.64,Mechanical,3,1,1,0,1,18.7,9.1
S144,9.1,EEE,1,1,1,0,0,8.7,8.3
S145,7.36,ECE,2,1,1,0,1,32.5,8.1
S146,6.08,ECE,1,1,0,1,0,75.9,9.4
S147,7.24,Civil,1,1,1,0,0,97.7,4.7
S148,9.02,Mechanical,2,0,1,1,0,82.9,5.7
S149,9.12,IT,1,0,0,1,0,6.4,9.3
S150,5.17,EEE,1,1,1,1,0,6.4,9.0
S151,8.47,Civil,2,0,1,0,0,34.1,5.0
S152,6.92,Civil,3,1,1,1,1,74.4,7.0
S153,7.25,ECE,1,1,1,0,0,47.4,7.5
S154,7.56,EEE,1,0,1,0,0,61.7,4.7
S155,5.83,IT,1,1,1,1,1,25.8,8.0
S156,8.02,ECE,2,1,0,0,0,36.9,4.7
S157,8.23,IT,1,1,1,0,0,11.6,4.9
S158,6.48,EEE,2,1,1,0,0,55.9,6.1
S159,7.95,CSE,2,0,0,0,0,75.9,4.6
S160,7.15,Civil,3,0,1,0,0,2.5,7.9
S161,8.03,EEE,3,1,0,1,0,68.8,4.8
S162,6.04,Mechanical,2,1,0,0,0,14.7,6.9
S163,9.92,CSE,2,0,1,0,0,34.0,7.2
S164,8.55,Mechanical,2,0,1,0,0,83.1,7.3
S165,9.4,CSE,3,1,1,0,0,39.5,4.2
S166,8.73,ECE,3,1,0,0,0,3.4,9.8
S167,6.02,EEE,3,1,0,0,0,57.7,9.2
S168,5.3,EEE,3,0,1,0,0,31.2,5.5
S169,8.44,IT,2,1,1,0,0,35.9,8.8
S170,9.97,CSE,3,0,0,0,0,63.3,4.4
S171,7.44,CSE,3,0,0,0,0,34.9,4.7
S172,9.21,ECE,2,0,1,0,1,66.7,5.3
S173,6.1,Civil,2,0,0,0,1,18.8,8.3
S174,9.11,Civil,1,1,1,0,0,77.5,5.6
S175,8.92,Mechanical,2,1,1,1,0,46.7,6.0
S176,9.46,ECE,2,1,1,0,1,8.9,8.1
S177,6.39,Mechanical,1,0,1,1,0,47.5,7.8
S178,6.85,EEE,3,0,1,0,1,85.0,5.3
S179,8.69,Civil,3,0,1,0,1,19.9,9.3
S180,9.56,Mechanical,3,1,1,1,0,73.6,6.0
S181,8.86,EEE,3,1,1,0,0,77.0,8.8
S182,8.32,ECE,2,1,1,0,0,83.0,7.6
S183,7.37,EEE,3,0,1,1,1,99.1,7.3
S184,6.38,EEE,2,1,1,1,0,64.3,8.9
S185,8.15,Civil,1,1,0,1,0,24.2,7.0
S186,9.32,Civil,1,1,1,0,0,99.5,7.2
S187,6.3,ECE,3,1,1,0,1,98.1,5.1
S188,8.87,CSE,1,0,0,0,1,96.0,8.6
S189,6.11,IT,1,0,1,1,0,42.9,4.2
S190,7.41,CSE,1,1,0,0,0,44.4,5.7
S191,9.59,EEE,3,0,1,0,0,3.6,5.1
S192,7.14,CSE,2,0,1,0,0,90.4,9.1
S193,7.97,Civil,3,0,1,0,0,87.9,6.8
S194,7.32,Civil,3,0,0,1,0,54.7,7.2
S195,6.15,EEE,2,0,1,1,0,66.3,8.5
S196,10.0,IT,3,1,0,1,0,15.0,6.3
S197,9.75,CSE,2,1,0,0,1,70.8,5.0
S198,9.31,IT,3,0,1,0,0,33.6,9.9
S199,7.53,CSE,3,1,1,0,1,12.4,8.8
S200,6.54,CSE,2,1,0,1,1,95.2,5.4
S201,9.68,EEE,3,1,1,0,0,16.3,5.1
S202,8.92,EEE,3,0,0,0,0,5.7,6.2
S203,8.93,Civil,3,1,1,0,1,91.5,4.1
S204,6.73,Mechanical,2,1,0,0,0,26.9,5.7
S205,8.48,Civil,2,1,0,0,1,70.4,6.2
S206,5.77,ECE,1,1,1,1,0,58.8,8.2
S207,8.09,Mechanical,2,1,0,0,0,74.3,6.0
S208,7.95,ECE,2,1,1,0,1,9.1,5.2
S209,8.03,Civil,2,1,0,1,1,80.5,8.9
S210,7.14,ECE,2,0,1,0,1,91.5,9.2
S211,9.68,Mechanical,1,0,1,0,0,2.2,5.8
S212,7.04,IT,1,1,0,0,1,94.3,8.5
S213,6.78,Civil,1,1,1,1,0,91.4,9.7
S214,6.74,CSE,2,1,1,1,0,46.2,6.5
S215,9.31,ECE,3,1,1,0,0,34.5,6.5
S216,5.29,EEE,1,1,0,0,1,61.6,7.3
S217,7.88,EEE,2,0,1,0,0,93.3,6.6
S218,5.09,Mechanical,2,1,0,0,0,62.8,8.1
S219,5.64,CSE,2,0,1,0,1,40.5,6.9
S220,5.33,ECE,2,1,0,0,1,6.7,7.9
S221,8.65,Mechanical,3,1,1,0,0,4.5,6.1
S222,9.02,Civil,3,1,1,0,1,58.4,8.7
S223,6.73,EEE,1,1,0,0,1,43.3,8.6
S224,6.21,EEE,2,0,0,1,0,18.8,4.5
S225,7.75,CSE,2,1,1,1,0,52.9,9.0
S226,5.94,Civil,3,0,1,0,0,3.1,5.6
S227,8.92,EEE,3,1,0,0,1,43.6,8.0
S228,9.03,EEE,1,1,1,0,0,41.1,4.8
S229,9.58,EEE,3,1,0,0,0,0.5,9.6
S230,6.95,CSE,3,0,1,1,1,34.2,7.2
S231,9.16,IT,2,1,1,0,1,63.2,4.3
S232,7.28,CSE,2,1,1,0,0,77.9,7.7
S233,9.17,ECE,1,1,0,1,0,59.4,8.2
S234,9.43,ECE,2,0,1,0,1,99.7,4.2
S235,9.08,ECE,2,1,1,0,0,7.1,5.3
S236,5.57,CSE,2,0,0,0,1,22.0,4.1
S237,9.05,CSE,3,0,0,1,0,8.3,6.9
S238,6.37,ECE,1,1,0,0,0,82.2,4.3
S239,5.22,Civil,1,0,1,1,1,1.6,7.1
S240,7.27,IT,1,1,0,0,1,17.5,7.4
S241,5.93,Mechanical,1,0,0,0,1,28.6,9.6
S242,8.65,IT,2,1,0,1,0,25.3,7.1
S243,7.29,Mechanical,1,1,0,0,1,4.0,5.7
S244,7.56,Civil,2,1,1,0,1,47.6,8.0
S245,5.17,IT,3,1,0,1,0,2.5,6.7
S246,9.61,Mechanical,3,1,1,0,0,56.8,7.9
S247,7.62,IT,2,1,0,0,0,96.1,8.0
S248,7.53,Mechanical,1,1,1,0,0,67.8,7.3
S249,9.17,Mechanical,3,1,0,0,1,6.2,4.6
S250,8.24,EEE,3,0,0,0,0,94.2,8.7
S251,6.57,CSE,3,1,0,0,0,34.2,6.6
S252,8.67,CSE,3,1,1,0,0,4.5,5.3
S253,5.05,Civil,3,1,1,0,0,46.4,4.7
S254,8.08,CSE,3,1,0,1,1,74.8,7.4
S255,8.46,ECE,3,1,0,0,0,57.8,6.2
S256,5.78,Civil,2,1,0,1,0,18.3,4.8
S257,7.66,Mechanical,3,0,1,0,0,65.6,9.8
S258,8.47,CSE,2,1,0,0,1,4.7,5.9
S259,6.98,CSE,2,0,0,1,0,41.9,5.0
S260,5.25,Civil,2,1,0,0,0,9.1,5.9
S261,6.19,EEE,1,0,1,0,0,25.0,7.3
S262,9.83,Mechanical,3,1,1,0,1,80.5,9.7
S263,6.52,EEE,2,0,0,1,0,49.7,9.5
S264,5.26,ECE,1,0,0,0,0,83.0,9.7
S265,7.87,ECE,2,1,0,0,0,78.7,5.8
S266,8.76,EEE,3,0,1,0,0,41.0,5.0
S267,7.25,Mechanical,3,0,1,0,0,75.2,4.3
S268,6.48,ECE,1,1,1,1,0,40.8,4.8
S269,9.48,ECE,1,0,0,0,0,67.2,9.0
S270,9.95,IT,2,0,0,0,0,16.9,6.1
S271,7.23,ECE,2,1,1,0,1,2.4,6.6
S272,6.47,Mechanical,3,0,1,0,1,10.3,4.8
S273,5.01,Mechanical,1,1,0,0,0,94.3,5.9
S274,9.98,CSE,1,0,1,0,0,2.8,7.7
S275,9.03,EEE,3,1,1,0,0,2.5,6.2
S276,8.92,Civil,2,1,1,0,1,61.4,7.5
S277,9.51,EEE,1,1,0,0,1,92.4,6.8
S278,6.78,ECE,1,0,0,0,1,95.8,7.4
S279,7.4,Civil,1,0,0,1,1,40.5,4.5
S280,6.58,Civil,3,0,1,0,0,69.3,8.2
S281,6.54,EEE,3,1,1,0,0,55.1,7.1
S282,6.17,EEE,3,1,1,0,0,68.9,5.5
S283,9.47,Mechanical,2,0,1,1,1,77.0,6.0
S284,6.98,Civil,2,1,1,0,1,25.1,4.7
S285,5.53,ECE,2,0,1,1,0,98.6,4.0
S286,5.76,CSE,3,1,1,0,0,33.8,4.8
S287,5.21,IT,2,1,0,0,0,29.5,7.2
S288,5.76,CSE,3,1,1,0,1,75.5,7.5
S289,6.62,IT,1,1,0,0,1,80.2,6.8
S290,5.43,ECE,3,1,0,0,0,64.4,6.3
S291,7.21,CSE,1,0,0,0,0,21.8,9.6
S292,8.13,IT,2,1,0,0,1,76.4,7.1
S293,9.27,ECE,1,1,1,0,0,47.4,4.0
S294,5.57,Civil,3,1,1,1,1,52.5,6.7
S295,6.79,ECE,1,1,1,1,0,38.2,7.3
S296,5.11,Mechanical,2,1,0,1,0,96.3,4.7
S297,5.36,Civil,2,0,0,1,1,24.1,9.2
S298,6.36,CSE,3,1,0,0,0,18.1,9.7
S299,6.98,EEE,2,0,0,1,1,90.7,9.9
S300,5.99,ECE,1,0,0,0,1,25.5,6.8
S301,7.44,ECE,2,0,0,0,0,51.4,5.7
S302,5.52,CSE,1,0,1,0,0,71.4,6.2
S303,7.98,EEE,1,1,0,1,1,57.2,5.1
S304,5.44,IT,1,0,1,0,0,40.0,8.9
S305,8.54,CSE,1,1,1,1,1,1.9,8.4
S306,9.3,Mechanical,2,1,1,0,1,76.0,5.9
S307,6.97,Mechanical,2,0,1,1,0,20.7,7.0
S308,9.06,EEE,2,1,1,0,1,14.3,7.9
S309,9.38,ECE,3,0,1,1,1,14.7,8.1
S310,5.89,Mechanical,3,0,0,0,1,23.6,9.7
S311,6.26,IT,3,1,0,0,1,47.5,9.1
S312,8.97,ECE,3,1,1,1,0,46.9,8.2
S313,8.4,IT,1,1,0,0,1,29.8,8.7
S314,5.84,Mechanical,1,1,0,0,0,6.3,6.4
S315,8.93,IT,1,0,1,0,0,45.8,5.5
S316,6.88,EEE,3,1,1,1,0,55.4,7.1
S317,7.56,ECE,1,0,0,0,1,11.1,4.2
S318,9.01,IT,2,0,0,0,0,86.1,9.2
S319,8.91,Civil,2,1,0,1,0,53.5,9.2
S320,7.69,Civil,1,0,0,0,0,36.3,6.6
S321,6.49,Civil,3,0,0,1,0,63.5,4.7
S322,8.69,EEE,1,0,0,0,0,11.6,9.0
S323,6.44,Mechanical,1,1,0,0,0,69.1,5.0
S324,8.97,ECE,1,0,0,1,0,26.1,9.8
S325,6.91,CSE,1,1,0,0,0,14.6,9.6
S326,8.1,Mechanical,3,1,1,0,0,42.6,9.8
S327,9.0,EEE,1,0,0,1,0,68.4,4.2
S328,6.01,EEE,3,1,0,0,0,84.9,6.4
S329,7.73,Civil,2,1,1,0,0,16.6,9.5
S330,6.57,Mechanical,3,1,0,1,0,48.7,8.1
S331,8.63,EEE,1,1,1,1,1,60.1,6.0
S332,6.78,EEE,3,1,0,1,0,20.4,5.8
S333,7.63,Mechanical,2,1,0,0,0,20.6,4.0
S334,8.0,CSE,1,1,1,1,0,34.2,7.9
S335,7.92,Civil,2,0,1,0,0,68.0,5.6
S336,6.61,IT,2,1,1,0,0,95.3,8.3
S337,5.29,ECE,1,0,1,1,1,58.3,4.7
S338,6.67,Civil,2,1,0,1,0,8.5,6.6
S339,9.47,CSE,2,1,0,1,1,86.2,5.9
S340,8.07,EEE,2,0,1,0,0,10.6,9.0
S341,7.01,Civil,1,1,0,1,0,94.4,5.5
S342,6.83,ECE,2,0,1,1,1,86.5,7.6
S343,7.1,ECE,3,0,0,0,0,6.4,5.9
S344,9.82,EEE,3,1,1,0,1,93.3,7.5
S345,6.58,EEE,1,1,1,0,0,29.8,7.8
S346,9.92,ECE,2,0,0,0,1,42.6,7.4
S347,7.53,CSE,2,1,1,0,0,97.7,5.1
S348,9.65,Civil,3,0,1,1,0,38.7,5.7
S349,9.25,EEE,1,1,1,0,0,59.3,6.9
S350,7.0,Mechanical,2,0,1,1,0,59.8,8.0
S351,8.75,Civil,2,0,1,1,0,36.0,7.2
S352,5.34,IT,2,1,0,1,0,82.6,7.3
S353,7.57,ECE,2,1,1,0,0,7.5,6.3
S354,7.61,CSE,1,0,1,0,1,7.9,4.3
S355,8.92,Civil,3,0,1,1,0,53.6,6.9
S356,7.74,Civil,1,1,0,0,0,95.2,8.9
S357,6.29,Mechanical,1,0,0,0,1,94.5,6.0
S358,9.71,CSE,1,1,0,0,1,74.9,5.3
S359,5.3,EEE,1,0,0,0,0,66.8,4.8
S360,5.16,Civil,1,0,1,1,0,70.5,5.1
S361,9.32,Civil,2,0,1,1,0,71.8,6.2
S362,9.48,EEE,2,1,0,0,0,68.8,5.6
S363,8.56,IT,2,0,1,0,1,52.2,7.8
S364,8.7,EEE,1,0,1,0,1,46.0,5.3
S365,8.58,CSE,2,0,1,1,0,50.9,4.8
S366,8.89,ECE,3,1,1,0,1,31.3,4.4
S367,9.08,CSE,2,1,1,1,0,10.4,7.4
S368,9.45,Mechanical,3,1,1,0,0,23.3,7.0
S369,8.54,IT,2,0,1,1,1,11.4,7.9
S370,7.5,ECE,2,0,0,0,1,22.0,4.6
S371,8.25,Mechanical,3,1,1,0,0,11.2,4.3
S372,7.86,EEE,2,1,1,0,0,46.4,8.7
S373,9.11,Civil,1,1,1,0,1,98.2,9.5
S374,8.92,IT,2,1,0,0,1,33.8,9.5
S375,8.28,ECE,3,0,1,1,1,44.9,6.8
S376,8.36,Civil,2,0,0,0,0,72.1,7.1
S377,5.94,Civil,3,0,0,0,1,1.7,4.3
S378,6.3,EEE,1,1,1,0,1,68.9,5.7
S379,7.89,Mechanical,3,1,1,1,1,5.6,8.5
S380,8.87,CSE,2,0,1,0,0,1.5,9.5
S381,8.42,CSE,3,1,1,0,0,40.5,9.9
S382,9.74,CSE,3,0,1,0,0,68.4,5.1
S383,8.98,EEE,3,0,0,0,0,9.8,5.0
S384,6.09,IT,1,0,0,0,0,43.1,7.1
S385,8.43,ECE,2,0,1,0,1,91.0,6.3
S386,8.69,Civil,1,0,0,0,1,63.3,8.3
S387,9.68,Civil,3,1,1,0,0,58.0,9.5
S388,8.98,ECE,3,0,1,1,0,29.9,4.6
S389,9.53,Mechanical,1,0,0,0,0,65.8,8.4
S390,6.81,IT,3,1,0,0,0,99.6,6.8
S391,9.55,IT,3,0,1,0,1,27.7,6.7
S392,8.81,EEE,1,0,0,0,0,45.5,7.1
S393,9.91,Civil,3,1,0,0,0,6.9,7.5
S394,6.79,EEE,1,1,1,0,0,91.7,8.8
S395,7.32,CSE,1,1,1,0,1,45.7,4.9
S396,7.09,CSE,2,1,0,1,1,28.5,7.5
S397,7.06,ECE,2,0,1,0,0,22.1,7.2
S398,9.4,IT,3,1,0,0,0,68.0,9.0
S399,8.17,EEE,3,1,1,0,0,84.4,4.8
S400,9.68,Civil,1,1,1,0,1,85.0,5.7
S401,7.51,IT,1,0,1,0,0,59.9,6.1
S402,7.43,Mechanical,3,0,1,0,1,61.3,4.9
S403,6.03,EEE,3,1,1,0,1,81.5,5.6
S404,5.51,IT,2,1,0,1,0,63.9,5.4
S405,7.27,EEE,2,1,1,0,0,47.5,6.2
S406,7.02,EEE,2,0,1,0,0,79.4,6.9
S407,6.05,CSE,2,1,1,0,0,29.8,8.0
S408,7.45,Mechanical,2,0,1,1,1,58.3,6.8
S409,6.17,Civil,2,0,0,0,1,32.2,4.2
S410,5.57,ECE,1,0,1,1,1,51.0,5.8
S411,8.5,EEE,1,0,1,0,0,98.1,8.4
S412,7.7,EEE,3,0,0,0,0,74.3,8.3
S413,7.25,Mechanical,2,0,1,0,0,46.0,5.7
S414,7.97,CSE,3,0,0,1,0,80.3,8.7
S415,10.0,EEE,2,0,1,0,1,9.4,9.7
S416,9.74,CSE,3,0,0,0,0,49.7,4.7
S417,8.9,Mechanical,3,1,0,1,0,4.7,5.1
S418,9.22,ECE,1,1,1,1,1,92.0,4.6
S419,5.87,IT,3,0,0,0,0,62.0,8.0
S420,7.31,IT,3,1,0,1,0,90.0,9.6
S421,5.97,Civil,3,1,1,1,1,20.8,7.4
S422,8.49,Civil,1,0,1,1,0,1.8,8.2
S423,6.81,ECE,2,1,1,0,0,93.3,8.3
S424,8.34,Mechanical,2,0,1,1,0,97.9,6.3
S425,8.23,CSE,2,1,1,0,0,27.4,9.9
S426,9.78,Civil,2,1,0,0,1,90.6,7.2
S427,9.68,IT,1,1,0,0,1,82.8,9.8
S428,6.33,Mechanical,3,1,0,0,1,63.4,4.8
S429,9.37,IT,2,0,1,0,0,51.2,9.6
S430,8.68,ECE,3,1,0,1,0,33.6,7.5
S431,8.87,CSE,2,1,1,0,0,53.0,5.6
S432,8.02,IT,1,0,0,0,0,60.1,4.4
S433,9.06,Mechanical,2,0,1,0,1,76.6,7.9
S434,8.64,EEE,1,1,0,0,1,11.2,5.6
S435,9.46,Mechanical,1,1,0,0,1,60.8,9.9
S436,8.91,ECE,3,1,1,0,0,84.5,8.4
S437,9.18,Mechanical,2,1,1,0,1,92.6,4.1
S438,6.68,CSE,3,1,1,0,1,24.1,8.5
S439,8.77,EEE,1,1,0,0,0,57.7,4.9
S440,5.85,Mechanical,1,1,1,1,0,37.6,9.6
S441,5.96,Civil,2,1,1,0,0,85.4,8.5
S442,7.6,Civil,2,1,0,1,1,78.2,5.2
S443,8.63,IT,1,0,0,0,0,81.8,5.0
S444,9.74,ECE,2,0,1,0,0,40.7,8.1
S445,8.43,CSE,1,1,0,1,0,17.8,5.4
S446,8.98,EEE,2,0,0,1,0,79.3,5.7
S447,7.78,Civil,3,1,1,0,1,30.9,8.2
S448,6.42,Mechanical,3,1,1,0,1,38.2,5.8
S449,9.52,EEE,3,0,0,1,1,85.7,6.5
S450,8.93,EEE,3,0,1,1,0,0.4,4.1
S451,6.19,EEE,2,1,0,0,0,86.2,6.9
S452,7.94,Civil,2,0,1,0,0,91.5,6.8
S453,6.16,EEE,2,1,0,0,1,63.6,5.0
S454,7.99,ECE,1,0,0,1,1,86.2,7.4
S455,5.49,Mechanical,3,1,0,0,0,46.4,6.6
S456,5.5,ECE,1,0,1,1,0,5.5,7.2
S457,5.99,ECE,1,0,1,0,1,8.9,7.1
S458,8.6,EEE,1,1,1,0,1,31.0,7.0
S459,8.15,Civil,3,1,0,1,1,23.4,5.2
S460,9.28,CSE,2,1,0,0,1,26.6,8.6
S461,8.3,IT,3,1,1,1,1,48.3,4.7
S462,5.26,CSE,3,0,1,1,0,41.6,9.9
S463,5.24,Mechanical,1,0,1,0,0,40.3,7.9
S464,5.25,ECE,1,1,0,1,0,59.3,7.2
S465,9.41,Mechanical,1,0,1,0,0,0.7,8.9
S466,9.67,IT,1,1,0,0,1,85.0,6.5
S467,5.66,IT,1,1,1,1,0,32.6,6.8
S468,7.9,IT,1,1,1,0,1,3.9,5.1
S469,5.08,IT,3,0,1,1,0,3.6,9.4
S470,5.2,CSE,1,1,0,0,1,28.4,7.5
S471,7.53,CSE,1,0,1,0,1,78.5,8.8
S472,6.23,Mechanical,1,1,1,1,0,67.7,8.7
S473,9.86,EEE,2,0,1,0,1,87.4,7.4
S474,6.55,Mechanical,3,0,0,1,1,12.7,6.1
S475,5.96,EEE,3,0,1,0,0,96.9,8.3
